transportation_mode,commute_distance_km,flights_per_year,diet_type,meat_consumption_kg_per_month,electricity_usage_kwh,gas_usage_therms,water_usage_gallons,recycling_percentage,new_clothes_per_month,car_type,monthly_carbon_footprint_kg
Car,9.256646441930982,1,Vegetarian,15.069512108929612,879.0805327354587,154.44805517865532,834.1108669874559,1.4079663282890675,9.240778052942694,Diesel,2047.7694363338783
Walk,27.095047368917907,2,Vegan,2.6494131268385313,317.2147334537499,94.64263737687975,966.9861888563331,0.6957587303291213,6.7041551465895655,Hybrid,1220.6971374681539
Public Transport,43.647291793820415,3,Vegetarian,10.938310275862484,170.68261851351883,123.54538481235886,4158.177824272717,24.012662045151988,9.312666274013377,None,2440.033689122728
Public Transport,36.61124432047806,1,Meat-based,10.924952002617019,420.76426226469823,91.26518476447971,674.9316365751018,10.080719713908525,3.978785874773685,Petrol,1498.90889512484
Car,40.328057393072484,0,Meat-based,1.7894624562077444,772.88664210848,178.8182738515691,3465.2425727063423,26.021136793575362,9.530161760404427,Hybrid,3072.064576834003
Car,32.93916833553587,1,Meat-based,8.359681710138272,595.6214902253151,99.57383610286384,1726.5098696693024,17.70432945283974,7.027828771659749,Petrol,2121.914362353874
Car,34.613828225892625,2,Meat-based,17.065695971344038,835.1140326169127,168.36174180576378,4421.95556318657,2.852002483864824,0.420057674188119,Diesel,3851.7161042622924
Bike,42.459782578265965,1,Meat-based,17.123072439893207,963.6329328483106,160.27041165404972,2682.465280598748,90.93041464060494,9.068728318190528,None,3224.1375309030545
Public Transport,12.483400442959297,4,Meat-based,1.98475329839362,813.3962290764554,82.10096426967131,1875.0940669752158,0.8223131388891525,4.844728090331926,None,2033.1303582248456
Public Transport,24.471248182157023,1,Meat-based,1.814417654956617,643.422770959378,46.01689837149501,2829.3752106024554,73.60821443370854,4.6032698477783285,Petrol,1954.3499858151058
Car,11.060472090980111,3,Meat-based,5.2539095400387055,544.0074292471425,81.2164265119542,2218.81108570371,15.214788691951654,5.6646660597963425,Hybrid,1980.841058656094
